id;date;check_in;check_out
1;2024-09-04;2024-09-04T17:07:58;2024-09-05T03:22:42
2;2024-09-05;2024-09-04T04:10:36;2024-09-05T01:19:16
3;2024-09-04;2024-09-04T04:45:23;2024-09-04T06:08:52
4;2024-09-04;2024-09-04T22:34:17;2024-09-04T21:14:38
5;2024-09-04;2024-09-04T16:06:36;2024-09-04T11:14:04
6;2024-09-04;2024-09-04T11:49:22;2024-09-04T18:08:44
7;2024-09-04;2024-09-04T10:55:07;2024-09-04T07:25:05
8;2024-09-04;2024-09-04T07:48:15;2024-09-04T08:01:20
9;2024-09-04;2024-09-04T21:54:28;2024-09-04T16:51:14
10;2024-09-04;2024-09-04T04:24:17;2024-09-04T20:12:46
